Date,Time,Voltage,Current,Power Factor,Power,Energy,Frequency,Light bulb
11 08 2024,13:21:12,256.7,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:21:17,254.3,0.08,0.55,10.5,0,50.3,1
11 08 2024,13:21:21,255.9,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:21:25,256,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:21:30,0,0,0,0,0,0,0
11 08 2024,13:21:34,0,0,0,0,0,0,0
11 08 2024,13:21:38,0,0,0,0,0,0,0
11 08 2024,13:21:43,0,0,0,0,0,0,0
11 08 2024,13:21:46,255.5,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:21:50,254.7,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:21:54,257.1,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:21:58,259.1,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:22:02,256.6,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:22:07,257.2,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:22:11,256.9,0.07,0.56,10.6,0,50.3,1
11 08 2024,13:22:15,254.7,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:22:19,256,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:22:22,255.7,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:22:27,256.3,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:22:31,255.1,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:22:35,255.8,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:22:39,255.6,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:22:43,255.5,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:22:48,0,0,0,0,0,0,0
11 08 2024,13:22:55,0,0,0,0,0,0,0
11 08 2024,13:23:00,0,0,0,0,0,0,0
11 08 2024,13:23:04,255.4,0.07,0.56,10.6,0,50.2,1
11 08 2024,13:23:08,256.6,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:23:12,255.5,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:23:16,255.1,0.07,0.56,10.6,0,50.3,1
11 08 2024,13:23:21,254.9,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:23:24,256.6,0.07,0.56,10.6,0,50.3,1
11 08 2024,13:23:28,256.2,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:23:32,256,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:23:36,256,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:23:40,256.7,0.07,0.56,10.6,0,50.3,1
11 08 2024,13:23:44,256.6,0.07,0.56,10.6,0,50.3,1
11 08 2024,13:23:48,255.1,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:23:52,255.1,0.07,0.56,10.5,0,50.3,1
11 08 2024,13:23:56,257.2,0.07,0.56,10.6,0,50.2,1
11 08 2024,13:24:00,256.2,0.07,0.56,10.6,0,50.2,1
11 08 2024,13:24:03,254.8,0.07,0.56,10.5,0,50.2,1
11 08 2024,13:24:08,0,0,0,0,0,0,0
11 08 2024,13:24:12,0,0,0,0,0,0,0
11 08 2024,13:24:17,0,0,0,0,0,0,0
11 08 2024,13:24:21,0,0,0,0,0,0,0
11 08 2024,13:24:25,255.3,0.07,0.56,10.6,0,50.3,1
11 08 2024,13:24:30,256.4,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:24:34,254,0.08,0.56,10.6,0,50.3,1
11 08 2024,13:24:38,256.3,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:24:42,257.6,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:24:49,253.8,0.08,0.55,10.5,0,50.3,1
11 08 2024,13:24:53,254.2,0.08,0.56,10.6,0,50.3,1
11 08 2024,13:24:57,257.7,0.07,0.56,10.6,0,50.2,1
11 08 2024,13:25:01,257.7,0.07,0.56,10.6,0,50.3,1
11 08 2024,13:25:05,256.3,0.07,0.56,10.6,0,50.3,1
11 08 2024,13:25:08,253,0.08,0.55,10.5,0,50.3,1
11 08 2024,13:25:12,254.3,0.08,0.55,10.5,0,50.3,1
11 08 2024,13:25:16,255.3,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:25:21,255.5,0.07,0.56,10.5,0,50.3,1
11 08 2024,13:25:28,256.2,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:25:33,0,0,0,0,0,0,0
11 08 2024,13:25:37,0,0,0,0,0,0,0
11 08 2024,13:25:42,0,0,0,0,0,0,0
11 08 2024,13:25:47,0,0,0,0,0,0,0
11 08 2024,13:25:51,254.2,0.08,0.56,10.6,0,50.3,1
11 08 2024,13:25:55,253,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:25:59,255.6,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:26:03,257.7,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:26:07,256.7,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:26:11,253.1,0.08,0.55,10.5,0,50.2,1
11 08 2024,13:26:15,253.1,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:26:19,254.4,0.08,0.56,10.6,0,50.2,1
11 08 2024,13:26:23,256.9,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:26:27,256.3,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:26:31,255.2,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:26:35,255.1,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:26:39,255.1,0.08,0.55,10.5,0,50.3,1
11 08 2024,13:26:43,256.5,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:26:46,257.3,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:26:50,256.7,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:26:55,0,0,0,0,0,0,0
11 08 2024,13:26:59,0,0,0,0,0,0,0
11 08 2024,13:27:04,0,0,0,0,0,0,0
11 08 2024,13:27:08,0,0,0,0,0,0,0
11 08 2024,13:27:12,254.3,0.08,0.56,10.6,0,50.2,1
11 08 2024,13:27:16,252.1,0.08,0.56,10.6,0,50.2,1
11 08 2024,13:27:20,253.9,0.08,0.56,10.6,0,50.3,1
11 08 2024,13:27:24,256.5,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:27:27,255.3,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:27:31,255.2,0.08,0.55,10.5,0,50.2,1
11 08 2024,13:27:35,255.2,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:27:42,255.1,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:27:47,257.5,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:27:52,256.4,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:27:56,254,0.08,0.56,10.6,0,50.2,1
11 08 2024,13:28:00,254.4,0.08,0.56,10.6,0,50.2,1
11 08 2024,13:28:04,255.7,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:28:08,255.6,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:28:11,254.8,0.08,0.55,10.5,0,50.2,1
11 08 2024,13:28:16,0,0,0,0,0,0,0
11 08 2024,13:28:21,0,0,0,0,0,0,0
11 08 2024,13:28:25,0,0,0,0,0,0,0
11 08 2024,13:28:29,0,0,0,0,0,0,0
11 08 2024,13:28:33,255.1,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:28:37,257.4,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:28:40,257.4,0.07,0.56,10.6,0,50.2,1
11 08 2024,13:28:45,255.1,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:28:49,253.7,0.08,0.55,10.5,0,50.2,1
11 08 2024,13:28:53,254,0.08,0.56,10.6,0,50.2,1
11 08 2024,13:28:57,255.4,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:29:00,255.2,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:29:04,253.1,0.08,0.56,10.6,0,50.2,1
11 08 2024,13:29:08,251.8,0.08,0.56,10.5,0,50.2,1
11 08 2024,13:29:13,254.9,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:29:17,256.6,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:29:21,256.2,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:29:25,256.2,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:29:29,256.1,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:29:33,255.1,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:29:38,0,0,0,0,0,0,0
11 08 2024,13:29:42,0,0,0,0,0,0,0
11 08 2024,13:29:47,0,0,0,0,0,0,0
11 08 2024,13:29:51,0,0,0,0,0,0,0
11 08 2024,13:29:55,252.8,0.08,0.56,10.6,0,50.2,1
11 08 2024,13:29:59,254,0.08,0.56,10.6,0,50.2,1
11 08 2024,13:30:03,255.2,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:30:07,256.5,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:30:11,254.9,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:30:15,255,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:30:19,256.1,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:30:23,256.3,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:30:28,255.9,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:30:31,255.4,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:30:35,256.6,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:30:39,257,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:30:43,255.2,0.08,0.55,10.5,0,50.1,1
11 08 2024,13:30:47,254.8,0.08,0.55,10.5,0,50.2,1
11 08 2024,13:30:51,254.1,0.08,0.55,10.5,0,50.2,1
11 08 2024,13:30:56,0,0,0,0,0,0,0
11 08 2024,13:31:01,0,0,0,0,0,0,0
11 08 2024,13:31:05,0,0,0,0,0,0,0
11 08 2024,13:31:10,0,0,0,0,0,0,0
11 08 2024,13:31:14,253.9,0.08,0.56,10.6,0,50.2,1
11 08 2024,13:31:18,254.1,0.08,0.56,10.6,0,50.2,1
11 08 2024,13:31:22,255.2,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:31:26,255.5,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:31:29,255.9,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:31:33,254.8,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:31:38,253.8,0.08,0.56,10.6,0,50.2,1
